Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CERCW,Cerecor Inc.,0.8307,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cercw
CERCZ,Cerecor Inc.,0.8663,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cercz
CERE,"Ceres, Inc.",0.2502,$4.71M,2012,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/cere
CERN,Cerner Corporation,56.15,$19.09B,1986,Technology,EDP Services,http://www.nasdaq.com/symbol/cern
CERU,Cerulean Pharma Inc.,3.28,$89.75M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ceru
CERS,Cerus Corporation,6.265,$622.5M,1997,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cers
KOOL,Cesca Therapeutics Inc.,2.85,"$21,380.70 ",n/a,Capital Goods,Medical Specialities,http://www.nasdaq.com/symbol/kool
CEVA,"CEVA, Inc.",23.01,$471.92M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/ceva
CSBR,"Champions Oncology, Inc.",3.85,$33.5M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/csbr
CYOU,Changyou.com Limited,20.13,$1.05B,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyou
HOTR,"Chanticleer Holdings, Inc.",0.81,$17.28M,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/hotr
HOTRW,"Chanticleer Holdings, Inc.",0.037,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/hotrw
CTHR,Charles & Colvard Ltd,1.19,$25.12M,1997,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/cthr
GTLS,"Chart Industries, Inc.",25.74,$787.33M,2006,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/gtls
CHTR,"Charter Communications, Inc.",212.24,$23.86B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/chtr
CHFN,Charter Financial Corp.,12.54,$188.36M,2010,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chfn
CHKP,Check Point Software Technologies Ltd.,82.87,$15.23B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/chkp
CHEK,Check-Cap Ltd.,2.91,$34.37M,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chek
CHEKW,Check-Cap Ltd.,1.1,n/a,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chekw
CEMI,"Chembio Diagnostics, Inc.",7.03,$67.69M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cemi
CHFC,Chemical Financial Corporation,38.46,$1.47B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chfc
CCXI,"ChemoCentryx, Inc.",2.4,$106.3M,2012,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ccxi
CHMG,Chemung Financial Corp,26.61,$124.83M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chmg
CHKE,Cherokee Inc.,15.64,$136.38M,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/chke
CHEV,Cheviot Financial Corp,14.95,$101.7M,2004,Finance,Savings Institutions,http://www.nasdaq.com/symbol/chev
CHMA,"Chiasma, Inc.",3.37,$81.81M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/chma
CBNK,"Chicopee Bancorp, Inc.",18.18,$94.73M,n/a,Finance,Banks,http://www.nasdaq.com/symbol/cbnk
PLCE,"Children&#39;s Place, Inc. (The)",77.91,$1.49B,1997,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/plce
CMRX,"Chimerix, Inc.",5.98,$276.17M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cmrx
CADC,"China Advanced Construction Materials Group, Inc.",3.1405,$6.85M,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cadc
CALI,China Auto Logistics Inc.,1.0938,$4.41M,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/cali
CAAS,"China Automotive Systems, Inc.",4.36,$140.05M,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/caas
CBAK,"China BAK Battery, Inc.",2.58,$44.24M,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cbak
CBPO,"China Biologic Products, Inc.",116.98,$3.11B,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cbpo
CCCL,"China Ceramics Co., Ltd.",0.38,$8.31M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cccl
CCCR,"China Commercial Credit, Inc.",0.654,$8.11M,2013,Finance,Major Banks,http://www.nasdaq.com/symbol/cccr
CCRC,"China Customer Relations Centers, Inc.",11.22,$201.17M,2015,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ccrc
JRJC,China Finance Online Co. Limited,5.63,$126.58M,2004,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jrjc
HGSH,"China HGS Real Estate, Inc.",2.064,$92.98M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/hgsh
CNIT,"China Information Technology, Inc.",1.52,$51.01M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnit
CJJD,"China Jo-Jo Drugstores, Inc.",1.66,$29.44M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cjjd
HTHT,"China Lodging Group, Limited",36.06,$2.26B,2010,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/htht
CHNR,"China Natural Resources, Inc.",1.6,$39.86M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/chnr
CREG,China Recycling Energy Corporation,0.291,$24.18M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/creg
CNTF,China TechFaith Wireless Communication Technology Limited,4.01,$42.45M,2005,n/a,n/a,http://www.nasdaq.com/symbol/cntf
CXDC,China XD Plastics Company Limited,3.41,$168.48M,n/a,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/cxdc
CNYD,"China Yida Holding, Co.",3.12,$12.21M,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/cnyd
CCIH,ChinaCache International Holdings Ltd.,8.27,$222.64M,2010,Technology,EDP Services,http://www.nasdaq.com/symbol/ccih
CNET,"ChinaNet Online Holdings, Inc.",0.67,$20.34M,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/cnet
IMOS,ChipMOS TECHNOLOGIES (Bermuda) LTD.,16.82,$459.02M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/imos
CDXC,ChromaDex Corporation,4.45,$162.47M,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cdxc
CHSCL,CHS Inc,27.662,n/a,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscl
CHSCM,CHS Inc,26.73,$507.87M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscm
CHSCN,CHS Inc,27.74,$466.03M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscn
CHSCO,CHS Inc,28.19,$319.09M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chsco
CHSCP,CHS Inc,31.75,$229.62M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/chscp
CHDN,"Churchill Downs, Incorporated",134.18,$2.23B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/chdn
CHUY,"Chuy&#39;s Holdings, Inc.",30.54,$505.13M,2012,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/chuy
CDTX,"Cidara Therapeutics, Inc.",13.38,$184.95M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cdtx
CIFC,CIFC LLC,7.12,$180.95M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cifc
CMCT,CIM Commercial Trust Corporation,18.61,$1.82B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cmct
CMPR,Cimpress N.V,87.89,$2.75B,n/a,Miscellaneous,Publishing,http://www.nasdaq.com/symbol/cmpr
CINF,Cincinnati Financial Corporation,66.01,$10.86B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cinf
CIDM,Cinedigm Corp,0.215,$16.87M,n/a,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/cidm
CTAS,Cintas Corporation,89.78,$9.61B,1983,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ctas
CPHR,Cipher Pharmaceuticals Inc.,5.98,$156.45M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cphr
CRUS,"Cirrus Logic, Inc.",36.1,$2.28B,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus
CSCO,"Cisco Systems, Inc.",27.49,$138.33B,1990,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/csco
CTRN,"Citi Trends, Inc.",17.96,$267.74M,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/ctrn
CZNC,Citizens & Northern Corp,20.19,$245.33M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cznc
CZWI,"Citizens Community Bancorp, Inc.",9.16,$47.89M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/czwi
CZFC,Citizens First Corporation,14.0336,$28.04M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/czfc
CIZN,Citizens Holding Company,22,$107.25M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cizn
CTXS,"Citrix Systems, Inc.",81.84,$12.6B,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ctxs
CHCO,City Holding Company,49.12,$735.89M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chco
CIVB,"Civista Bancshares, Inc. ",11.54,$90.55M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civb
CIVBP,"Civista Bancshares, Inc. ",36.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/civbp
CDTI,"Clean Diesel Technologies, Inc.",0.5699,$10.52M,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/cdti
CLNE,Clean Energy Fuels Corp.,2.86,$278.45M,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/clne
CLNT,"Cleantech Solutions International, Inc.",1.142,$5.03M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clnt
CLFD,"Clearfield, Inc.",18.56,$254.36M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clfd
CLRO,"ClearOne, Inc.",10.94,$100.48M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/clro
CLIR,ClearSign Combustion Corporation,4.82,$62.03M,2012,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/clir
CBLI,"Cleveland BioLabs, Inc.",2.29,$25.16M,2006,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/cbli
CSBK,Clifton Bancorp Inc.,14.875,$369.48M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/csbk
CLVS,"Clovis Oncology, Inc.",13.91,$533.58M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clvs
CMFN,CM Finance Inc,9.07,$124.06M,2014,n/a,n/a,http://www.nasdaq.com/symbol/cmfn
CME,CME Group Inc.,91.91,$31.1B,2002,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cme
CCNE,CNB Financial Corporation,17.89,$258.66M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ccne
CISG,CNinsure Inc.,7.81,$451.05M,2007,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/cisg
CNV,Cnova N.V.,3.5,$1.54B,2014,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/cnv
CWAY,"Coastway Bancorp, Inc.",12.27,$58.89M,2014,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cway
COBZ,CoBiz Financial Inc.,12.1,$497.54M,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/cobz
COKE,Coca-Cola Bottling Co. Consolidated,159.37,$1.48B,1972,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/coke
CDRB,Code Rebel Corporation,2.77,$38.45M,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cdrb
CDXS,"Codexis, Inc.",3.15,$127.49M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cdxs
CVLY,"Codorus Valley Bancorp, Inc",20.94,$166.76M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cvly
JVA,"Coffee Holding Co., Inc.",3.71,$22.86M,2005,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/jva
CCOI,"Cogent Communications Holdings, Inc.",38.7,$1.75B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ccoi
CGNT,"Cogentix Medical, Inc.",1.05,$27.27M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cgnt
CGNX,Cognex Corporation,35.53,$3.02B,1989,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cgnx
CTSH,Cognizant Technology Solutions Corporation,58.37,$35.55B,1998,Technology,EDP Services,http://www.nasdaq.com/symbol/ctsh
COHR,"Coherent, Inc.",93.4,$2.26B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/cohr
CHRS,"Coherus BioSciences, Inc.",18.83,$736.32M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/chrs
COHU,"Cohu, Inc.",11.56,$303.44M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/cohu
CLCT,"Collectors Universe, Inc.",17.38,$154.65M,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/clct
COLL,"Collegium Pharmaceutical, Inc.",19.06,$448.05M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/coll
CIGI,Colliers International Group Inc. ,41.42,$1.54B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cigi
CBAN,"Colony Bankcorp, Inc.",9.34,$78.82M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cban
CLCD,"CoLucid Pharmaceuticals, Inc.",6.75,$103.11M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/clcd
COLB,"Columbia Banking System, Inc.",29.49,$1.7B,1992,Finance,Major Banks,http://www.nasdaq.com/symbol/colb
COLM,Columbia Sportswear Company,58.57,$4.06B,1998,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/colm
CMCO,Columbus McKinnon Corporation,16.51,$331.97M,1996,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/cmco
CBMX,CombiMatrix Corporation,2.86,$2.44M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cbmx
CBMXW,CombiMatrix Corporation,1.335,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cbmxw
CMCSA,Comcast Corporation,60.77,$147.39B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsa
CBSH,"Commerce Bancshares, Inc.",46.82,$4.53B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbsh
CBSHP,"Commerce Bancshares, Inc.",27.44,$2.51B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbshp
CUBN,"Commerce Union Bancshares, Inc.",15.72,$118.65M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cubn
CVGI,"Commercial Vehicle Group, Inc.",2.57,$78.61M,2004,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/cvgi
COMM,"CommScope Holding Company, Inc.",30.41,$5.82B,2013,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/comm
CSAL,"Communications Sales & Leasing,Inc.",23.21,$3.49B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/csal
JCS,"Communications Systems, Inc.",6.5317,$57.22M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcs
ESXB,Community Bankers Trust Corporation.,5.04,$110.22M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/esxb
CCFI,Community Choice Financial Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ccfi
CYHHZ,"Community Health Systems, Inc.",0.006,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/cyhhz
CTBI,"Community Trust Bancorp, Inc.",35.87,$629.64M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ctbi
CWBC,Community West Bancshares,7.26,$59.21M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cwbc
COB,CommunityOne Bancorp,13.15,$319.44M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cob
CVLT,"CommVault Systems, Inc.",43.77,$1.98B,2006,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cvlt
CGEN,Compugen Ltd.,6.78,$342.88M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cgen
CPSI,"Computer Programs and Systems, Inc.",51.33,$689.11M,2002,Technology,EDP Services,http://www.nasdaq.com/symbol/cpsi
CTG,"Computer Task Group, Incorporated",5.14,$97.88M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ctg
SCOR,"comScore, Inc.",30.62,$1.19B,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/scor
CHCI,"Comstock Holding Companies, Inc.",1.73,$5.89M,2004,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/chci
CMTL,Comtech Telecommunications Corp.,24.2,$391.12M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/cmtl
CNAT,Conatus Pharmaceuticals Inc.,2.87,$59.72M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnat
CNCE,"Concert Pharmaceuticals, Inc.",13.94,$309.53M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cnce
CXRX,Concordia Healthcare Corp.,29.15,$1.49B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cxrx
CCUR,Concurrent Computer Corporation,6.14,$56.53M,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ccur
CDOR,"Condor Hospitality Trust, Inc.",2.179,$10.77M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cdor
CFMS,"ConforMIS, Inc.",12.39,$515.04M,2015,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/cfms
CONG,congatec Holding AG,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cong
CNFR,"Conifer Holdings, Inc.",6.78,$51.83M,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/cnfr
CNMD,CONMED Corporation,41.42,$1.15B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cnmd
CTWS,"Connecticut Water Service, Inc.",47.02,$527.08M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/ctws
CNOB,"ConnectOne Bancorp, Inc.",17.21,$517.87M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cnob
CNXR,"Connecture, Inc.",2.31,$51.08M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cnxr
CONN,"Conn&#39;s, Inc.",13.74,$421.24M,2003,Consumer Services,Consumer Electronics/Video Chains,http://www.nasdaq.com/symbol/conn
CNSL,"Consolidated Communications Holdings, Inc.",23.63,$1.19B,2005,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cnsl
CWCO,Consolidated Water Co. Ltd.,13.89,$205.38M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/cwco
CPSS,"Consumer Portfolio Services, Inc.",3.96,$99.74M,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cpss
CFRX,ContraFect Corporation,3.53,$97.02M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrx
CFRXW,ContraFect Corporation,0.59,n/a,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cfrxw
CTRV,ContraVir Pharmaceuticals Inc,1.016,$27.73M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctrv
CTRL,Control4 Corporation,7.41,$173.72M,2013,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/ctrl
CPRT,"Copart, Inc.",42.84,$4.8B,1994,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/cprt
COYN,"COPsync, Inc.",1.93,$16.74M,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/coyn
COYNW,"COPsync, Inc.",0.49,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/coynw
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",2.24,$84.24M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crbp
CORT,Corcept Therapeutics Incorporated,4.77,$523.08M,1982,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cort
BVA,Cordia Bancorp Inc.,3.98,$27.03M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bva
CORE,"Core-Mark Holding Company, Inc.",81.66,$1.89B,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/core
CORI,"Corium International, Inc.",4.48,$99.55M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cori
CSOD,"Cornerstone OnDemand, Inc.",34.35,$1.88B,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/csod
CRVL,CorVel Corp.,45.2,$884.88M,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/crvl
CRVS,"Corvus Pharmaceuticals, Inc.",12.225,$249.47M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/crvs
COSI,"Cosi, Inc.",0.71,$33.95M,2002,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cosi
CSGP,"CoStar Group, Inc.",197.31,$6.42B,1998,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/csgp
COST,Costco Wholesale Corporation,148.13,$65.03B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/cost
CPAH,CounterPath Corporation,2.12,$9.61M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cpah
ICBK,"County Bancorp, Inc.",20.74,$120.02M,2015,n/a,n/a,http://www.nasdaq.com/symbol/icbk
CVTI,"Covenant Transportation Group, Inc.",19.91,$360.95M,1994,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/cvti
COVS,Covisint Corporation,1.85,$74.8M,2013,Technology,EDP Services,http://www.nasdaq.com/symbol/covs
COWN,"Cowen Group, Inc.",3.485,$373.11M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cown
COWNL,"Cowen Group, Inc.",25.613,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/cownl
PMTS,CPI Card Group Inc.,7.91,$446.73M,2015,Finance,Finance Companies,http://www.nasdaq.com/symbol/pmts
CPSH,CPS Technologies Corp.,2.17,$28.64M,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cpsh
CRAI,"CRA International,Inc.",21.68,$193.56M,1998,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/crai
CBRL,"Cracker Barrel Old Country Store, Inc.",146.43,$3.51B,1981,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cbrl
BREW,"Craft Brew Alliance, Inc.",8.5,$163.02M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/brew
CRAY,Cray Inc,37.87,$1.54B,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/cray
CACC,Credit Acceptance Corporation,196.27,$3.95B,1992,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/cacc
GLDI,Credit Suisse AG,10.79,$145.94M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/gldi
CREE,"Cree, Inc.",24.51,$2.47B,1993,Technology,Semiconductors,http://www.nasdaq.com/symbol/cree
CRESY,Cresud S.A.C.I.F. y A.,10.5,$519.75M,1997,Finance,Real Estate,http://www.nasdaq.com/symbol/cresy
CRTO,Criteo S.A.,41.69,$2.6B,2013,Technology,Advertising,http://www.nasdaq.com/symbol/crto
CROX,"Crocs, Inc.",8.355,$610M,2006,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/crox
CCRN,"Cross Country Healthcare, Inc.",12.43,$405.34M,2001,Technology,Professional Services,http://www.nasdaq.com/symbol/ccrn
XRDC,"Crossroads Capital, Inc.",2.47,$23.89M,2011,n/a,n/a,http://www.nasdaq.com/symbol/xrdc
CRDS,"Crossroads Systems, Inc.",0.195,$4.78M,1999,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/crds
CRWS,"Crown Crafts, Inc.",9.1825,$91.79M,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/crws
CRWN,"Crown Media Holdings, Inc.",5.07,$1.82B,2000,Consumer Services,Television Services,http://www.nasdaq.com/symbol/crwn
CYRX,"CryoPort, Inc.",2.26,$27.67M,n/a,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/cyrx
CYRXW,"CryoPort, Inc.",0.59,n/a,n/a,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/cyrxw
CSGS,"CSG Systems International, Inc.",44.38,$1.43B,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/csgs
CCLP,CSI Compressco LP,8.8,$292.08M,2011,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/cclp
CSPI,CSP Inc.,6.5499,$24.13M,1982,Technology,EDP Services,http://www.nasdaq.com/symbol/cspi
CSWI,"CSW Industrials, Inc.",32.56,$507.59M,n/a,Basic Industries,Home Furnishings,http://www.nasdaq.com/symbol/cswi
CSX,CSX Corporation,27.27,$26.07B,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/csx
CTCM,"CTC Media, Inc.",1.97,$307.52M,2006,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/ctcm
CTIC,CTI BioPharma Corp.,0.5038,$141.34M,1997,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctic
CTIB,CTI Industries Corporation,6.5301,$22.02M,1997,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/ctib
CTRP,"Ctrip.com International, Ltd.",43.61,$16.6B,2003,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ctrp
CUNB,CU Bancorp (CA),23.04,$400.27M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cunb
CUI,"CUI Global, Inc.",8.34,$174.13M,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/cui
